Well,Well Position,Sample Name,Target Name,Reporter,Quencher,CT,Ct Mean,Automatic Ct Threshold,Ct Threshold
116,E20,000002-2059,Assay1,FAM,NFQ-MGB,25.287,25.297,TRUE,0.04
116,E20,000002-2059,rApoB,VIC,NFQ-MGB,24.522,24.528,FALSE,0.032
117,E21,000002-2060,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
117,E21,000002-2060,rApoB,VIC,NFQ-MGB,27.265,27.01,FALSE,0.032
118,E22,000002-2060,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
118,E22,000002-2060,rApoB,VIC,NFQ-MGB,26.787,27.01,FALSE,0.032
119,E23,PTC-2-1659,Assay1,FAM,NFQ-MGB,29.3,29.405,TRUE,0.04
119,E23,PTC-2-1659,rApoB,VIC,NFQ-MGB,27.86,27.904,FALSE,0.032
120,E24,PTC-2-1659,Assay1,FAM,NFQ-MGB,29.323,29.405,TRUE,0.04
120,E24,PTC-2-1659,rApoB,VIC,NFQ-MGB,27.816,27.904,FALSE,0.032
121,F1,000002-2050,Assay1,FAM,NFQ-MGB,26.834,26.768,TRUE,0.04
121,F1,000002-2050,rApoB,VIC,NFQ-MGB,25.893,25.917,FALSE,0.032
122,F2,000002-2050,Assay1,FAM,NFQ-MGB,26.702,26.768,TRUE,0.04
122,F2,000002-2050,rApoB,VIC,NFQ-MGB,25.975,25.917,FALSE,0.032
123,F3,000002-2051,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
123,F3,000002-2051,rApoB,VIC,NFQ-MGB,25.594,25.769,FALSE,0.032
124,F4,000002-2051,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
124,F4,000002-2051,rApoB,VIC,NFQ-MGB,25.672,25.769,FALSE,0.032
125,F5,000002-2052,Assay1,FAM,NFQ-MGB,25.718,25.749,TRUE,0.04
125,F5,000002-2052,rApoB,VIC,NFQ-MGB,25.107,25.204,FALSE,0.032
126,F6,000002-2052,Assay1,FAM,NFQ-MGB,25.799,25.749,TRUE,0.04
126,F6,000002-2052,rApoB,VIC,NFQ-MGB,25.242,25.204,FALSE,0.032
127,F7,000002-2053,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
127,F7,000002-2053,rApoB,VIC,NFQ-MGB,25.058,25.006,FALSE,0.032
128,F8,000002-2053,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
128,F8,000002-2053,rApoB,VIC,NFQ-MGB,25.027,25.006,FALSE,0.032
129,F9,000002-2054,Assay1,FAM,NFQ-MGB,26.541,26.533,TRUE,0.04
129,F9,000002-2054,rApoB,VIC,NFQ-MGB,25.844,25.701,FALSE,0.032
130,F10,000002-2054,Assay1,FAM,NFQ-MGB,26.434,26.533,TRUE,0.04
130,F10,000002-2054,rApoB,VIC,NFQ-MGB,25.666,25.701,FALSE,0.032
131,F11,000002-2055,Assay1,FAM,NFQ-MGB,26.586,26.441,TRUE,0.04
131,F11,000002-2055,rApoB,VIC,NFQ-MGB,25.788,25.604,FALSE,0.032
132,F12,000002-2055,Assay1,FAM,NFQ-MGB,26.284,26.441,TRUE,0.04
132,F12,000002-2055,rApoB,VIC,NFQ-MGB,25.63,25.604,FALSE,0.032
133,F13,000002-2056,Assay1,FAM,NFQ-MGB,26.349,26.331,TRUE,0.04
133,F13,000002-2056,rApoB,VIC,NFQ-MGB,25.443,25.413,FALSE,0.032
134,F14,000002-2056,Assay1,FAM,NFQ-MGB,26.223,26.331,TRUE,0.04
134,F14,000002-2056,rApoB,VIC,NFQ-MGB,25.253,25.413,FALSE,0.032
135,F15,000002-2057,Assay1,FAM,NFQ-MGB,26.28,26.337,TRUE,0.04
135,F15,000002-2057,rApoB,VIC,NFQ-MGB,25.35,25.38,FALSE,0.032
136,F16,000002-2057,Assay1,FAM,NFQ-MGB,26.324,26.337,TRUE,0.04
136,F16,000002-2057,rApoB,VIC,NFQ-MGB,25.368,25.38,FALSE,0.032
137,F17,000002-2058,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
137,F17,000002-2058,rApoB,VIC,NFQ-MGB,25.495,25.415,FALSE,0.032
138,F18,000002-2058,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
138,F18,000002-2058,rApoB,VIC,NFQ-MGB,25.325,25.415,FALSE,0.032
139,F19,000002-2059,Assay1,FAM,NFQ-MGB,25.344,25.297,TRUE,0.04
139,F19,000002-2059,rApoB,VIC,NFQ-MGB,24.606,24.528,FALSE,0.032
140,F20,000002-2059,Assay1,FAM,NFQ-MGB,25.112,25.297,TRUE,0.04
140,F20,000002-2059,rApoB,VIC,NFQ-MGB,24.336,24.528,FALSE,0.032
141,F21,000002-2060,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
141,F21,000002-2060,rApoB,VIC,NFQ-MGB,27.11,27.01,FALSE,0.032
142,F22,000002-2060,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
142,F22,000002-2060,rApoB,VIC,NFQ-MGB,26.88,27.01,FALSE,0.032
143,F23,PTC-2-1659,Assay1,FAM,NFQ-MGB,29.292,29.405,TRUE,0.04
143,F23,PTC-2-1659,rApoB,VIC,NFQ-MGB,27.848,27.904,FALSE,0.032
144,F24,PTC-2-1659,Assay1,FAM,NFQ-MGB,29.474,29.405,TRUE,0.04
144,F24,PTC-2-1659,rApoB,VIC,NFQ-MGB,27.857,27.904,FALSE,0.032
145,G1,000003-2104,Assay1,FAM,NFQ-MGB,25.446,25.144,TRUE,0.04
145,G1,000003-2104,rApoB,VIC,NFQ-MGB,24.55,24.326,FALSE,0.032
